NC1	NC2	NC3	NC4	NC5
Zm00001d027320	0.473207956042407	0.133049231558158	0.148312965529857	0.385237834007265	0.221550449618965
Zm00001d027321	1.15535314442944	0.900406251318985	0.378308765173501	0.603170047886799	1.75107492968667
Zm00001d027325	2.07887792375624	1.42625231188134	0.675789494165222	0.643344526829537	2.12635828884836
Zm00001d027324	2.79148466954015	1.03673746731467	0.903864414482932	1.77696219635795	2.81681640209466
Zm00001d027332	0	0.777309928685248	0	0	0.793816685721123
Zm00001d027330	0.787282361727842	0	0	1.23377474731462	0.720872729269067
Zm00001d027329	3.93499944246925	2.3241407610275	0.708781323352994	1.45842515825328	4.35909968548111
Zm00001d027326	4.05867035869624	1.48909900521077	0.931406431800791	1.9984586902254	3.64109765615823
Zm00001d027338	0.857313936644693	0.341806744629041	0.0119412945773091	0.113429375096291	0.395194370917249
Zm00001d027335	0	0.778778353397492	1.01856109379729	0.00459293367411732	0.0902199709986156
Zm00001d027339	2.04746900996776	1.42215205611267	0.855338021281404	1.08088851121672	2.15597095905842
Zm00001d027337	1.22662259635094	1.05418586361528	0.132102423129546	1.53604832707932	1.36239481892892
Zm00001d027343	0.637803149467614	0.251858744177282	0.292459840174917	0.414959640112938	0.548371360757021
Zm00001d027342	3.98489346370368	2.11558099230179	1.48142220482541	2.08576512251032	4.48323681737383
Zm00001d027345	0.288454954963914	0.482326943708935	0.488972400613334	0.46542802303699	1.18617205078017
Zm00001d027346	2.09875470433935	0.486751230042941	0.222555494269316	0.95342719521877	1.68952211945924
Zm00001d027348	0.323002397584629	0.137077097171605	0.0792182143871777	0.240045127829007	0.629494371108058
Zm00001d027307	1.86715458309485	1.19640009888625	0.752730230806846	1.19294435905213	2.18625670691623
Zm00001d027349	0.727727339646822	0.326823445503237	0.496502244101901	0.287634663640416	0.903522466338697
Zm00001d022654	0.00683218347999467	0	0.451651909051191	0	0
Zm00001d027350	0.0300133574356216	0.213678147016872	0.455024008322639	0.0881679105520524	0.360828842651193
Zm00001d027353	0.896115674242196	0.508003774932011	0.904715810869293	0.164320058232188	0.946064800285649
Zm00001d027352	0.701026417973537	0.605224047927179	0.579802475676444	0.816034939843756	0.574462656575398
Zm00001d027351	0.878288888535889	0.729475563814762	0.676441151479852	0.377564241283458	1.54121923422212
Zm00001d027347	1.70208964596742	0.979114701462067	0.920568003335035	1.03906148522625	2.13411843050754
Zm00001d027354	1.77803537466112	0.93325386896912	0.951508363230819	1.26937330724872	1.97854687066283
Zm00001d027361	0.38722766135265	0.167334072142338	0.136908307191463	0.111698161603507	0.454255114742518
Zm00001d027365	0.0237812956753562	0.0143020603648753	0.0547429536237645	0.00945151963579286	0.0576795418111213
Zm00001d027355	0	0.726180500603814	1.04324569121105	0.803340911908693	0.421141080770349
Zm00001d027363	0.151815992562947	0.245036523252336	0.0164919690612629	0.34275185195378	0.134391452447577
Zm00001d027362	2.48990756863327	1.58429967781348	0.903497346086779	1.23531022182405	3.42351680587594
Zm00001d027359	3.43372273855108	2.17591101539684	0.947304333272517	1.65740203546473	4.00897116088059
Zm00001d027368	0.439237353620506	0	0.0545491880686272	0.815848005823889	0.456750041448594
Zm00001d027370	0.0415556533084674	0	0.00617547990355469	0.0157512696032209	0
Zm00001d027366	0.25082520906409	1.60289727860586	1.50503948283756	0.300286521072714	0.294730039075321
Zm00001d027367	1.24755727759588	0.80445899588995	1.00559940926023	0.47667421567519	1.75269954646594
Zm00001d027369	2.58789780901956	2.35887523909157	1.08431795644487	1.01145759108608	2.48475108359219
Zm00001d027371	2.71817057753712	1.79443401780182	0.988849873098036	1.67039337954695	3.02107789131807
Zm00001d027340	3.11247039009139	1.55804676972708	0.890671598388603	1.58525241809385	3.57008993562705
Zm00001d027374	1.40361237976587	1.19894454134769	0.693198258683599	0.8252152960215	1.80186921741263
Zm00001d027375	0	0	0	1.07554521563153	0.745455379761942
Zm00001d027379	0	0	0.174202991542622	0	0.00115850708345825
Zm00001d027293	4.95680852219438	3.09939446818776	1.59865814394506	1.95528753387537	5.5140528992629
Zm00001d027380	1.93394217681303	0.661458156313548	0.881065765766189	0.860667196403484	1.78476556445323
Zm00001d022656	0	0	0.330183814838077	0.483852669907664	0.699852145313736
Zm00001d022657	1.60647652725006	0.616813961629255	0.502850095642121	0.986753633838424	1.59967375033339
Zm00001d027317	1.34990830870648	0.530073737328795	0.44347244875166	1.54279967536478	1.06241530787969
